Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
49,,2022-01-26,29-214,UTA,,PHO,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,,2022-01-28,29-216,UTA,@,MEM,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,2022-01-30,29-218,UTA,@,MIN,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2022-02-02,29-221,UTA,,DEN,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2022-02-04,29-223,UTA,,BRK,W (+23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,2022-02-07,29-226,UTA,,NYK,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,2022-02-09,29-228,UTA,,GSW,W (+26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,,2022-02-11,29-230,UTA,,ORL,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,43,2022-02-14,29-233,UTA,,HOU,W (+34),1,21:57,.875,.875,0.0,30.6,17.8,13.0,0.0,4.8,11.1,17.6,153,102,13.6,8.1
58,44,2022-02-16,29-235,UTA,@,LAL,L (-5),1,27:59,.644,.667,4.3,38.1,22.2,0.0,0.0,10.3,34.0,10.0,89,108,5.9,-4.2
59,45,2022-02-25,29-244,UTA,,DAL,W (+5),1,33:33,.902,1.000,9.2,49.9,32.9,9.1,0.0,8.8,27.9,15.1,132,110,16.6,5.6
60,46,2022-02-27,29-246,UTA,@,PHO,W (+4),1,28:46,.484,.385,29.2,31.6,30.3,4.7,0.0,8.6,0.0,24.7,132,121,17.5,2.0
61,47,2022-03-02,29-249,UTA,@,HOU,W (+5),1,38:04,.857,.857,20.9,35.6,28.5,4.2,1.3,8.0,11.3,20.5,157,113,28.6,7.0
62,48,2022-03-04,29-251,UTA,@,NOP,L (-34),1,25:05,.753,1.000,13.0,29.8,20.2,8.2,2.0,0.0,13.1,12.1,133,122,12.4,5.1
63,49,2022-03-06,29-253,UTA,@,OKC,W (+13),1,34:14,.644,.625,14.9,35.1,25.1,4.3,0.0,2.7,9.7,13.5,139,105,15.5,0.9
64,50,2022-03-07,29-254,UTA,@,DAL,L (-8),1,34:11,.785,.600,9.2,33.4,20.7,0.0,0.0,10.0,28.2,14.0,123,113,11.9,-0.9
65,51,2022-03-09,29-256,UTA,,POR,W (+38),1,22:14,.781,1.000,6.5,36.7,25.1,6.5,0.0,0.0,14.8,14.3,129,86,8.1,-0.4
66,52,2022-03-11,29-258,UTA,@,SAS,L (-2),1,31:55,.878,.667,10.7,32.8,21.7,4.4,0.0,13.4,28.8,13.1,138,93,17.3,6.0
67,,2022-03-12,29-259,UTA,,SAC,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
68,53,2022-03-14,29-261,UTA,,MIL,L (-6),1,31:43,.781,.750,12.4,39.8,24.4,0.0,1.5,0.0,14.8,17.6,141,114,18.0,4.6
